YAL013W	YPL139C
YLR358C	YNL222W
YLR360W	YNL223W
YLR385C	YLR399C
YLR385C	YNL107W
YLR399C	YML069W
YLR399C	YNL136W
YLR399C	YOR244W
YLR408C	YNL086W
YLR419W	YNL186W
YLR424W	YPL208W
YLR435W	YOR128C
YLR435W	YPL146C
YLR435W	YPL231W
YLR436C	YMR304W
YLR454W	YML058W
YML004C	YPL001W
YML010W	YOL005C
YML010W	YOR057W
YML010W	YOR151C
YML010W	YOR210W
YML012W	YML055W
YML012W	YOL012C
YML042W	YNL216W
YML049C	YMR049C
YML056C	YOR128C
YML056C	YPR154W
YML058W	YMR049C
YML058W	YNL172W
YML069W	YNL031C
YML069W	YOL013C
YML069W	YOL145C
YML069W	YPR171W
YML093W	YOR116C
YML093W	YPR028W
YML112W	YNL261W
YML117W	YNL049C
YML131W	YMR191W
YML131W	YOL154W
YML131W	YPL001W
YMR029C	YOR303W
YMR031C	YMR086W
YMR031C	YPL004C
YMR049C	YNL045W
YMR049C	YOL078W
YMR049C	YOR073W
YMR049C	YPR008W
YMR070W	YNL027W
YMR072W	YPL001W
YMR072W	YPR025C
YMR072W	YPR161C
YMR080C	YPL001W
YMR086W	YOL126C
YMR086W	YPL004C
YMR104C	YOR057W
YMR105C	YOR090C
YMR109W	YOL069W
YMR109W	YPR161C
YMR117C	YOL069W
YMR165C	YPL031C
YMR172W	YMR276W
YMR180C	YMR304W
YMR180C	YNL240C
YMR180C	YPL231W
YMR191W	YPL084W
YMR196W	YMR275C
YMR221C	YNL186W
YMR229C	YPR161C
YMR232W	YMR304W
YMR246W	YMR304W
YMR259C	YNL218W
YMR259C	YOR042W
YMR275C	YPL146C
YMR276W	YOR042W
YMR276W	YPR002W
YMR291W	YNL118C
YMR304W	YNL208W
YMR304W	YNR047W
YMR313C	YOR117W
YNL009W	YOL013C
YNL020C	YPL004C
YNL024C	YOR093C
YNL031C	YNL049C
YNL031C	YNL079C
YNL031C	YPL001W
YNL045W	YNR001C
YNL047C	YPL231W
YNL071W	YPL139C
YNL097C	YOR244W
YNL097C	YPL139C
YNL106C	YPR161C
YNL107W	YNL136W
YNL107W	YOR244W
YNL113W	YNL248C
YNL113W	YNR003C
YNL113W	YOR116C
YNL113W	YOR210W
YNL113W	YOR341W
YNL113W	YPR049C
YNL113W	YPR110C
YNL113W	YPR161C
YNL115C	YOR261C
YNL118C	YOR191W
YNL125C	YNL138W
YNL130C	YPL212C
YNL132W	YNR054C
YNL136W	YOR244W
YNL172W	YPR171W
YNL186W	YNL248C
YNL186W	YNL307C
YNL186W	YPR110C
YNL216W	YOR210W
YNL222W	YPR107C
YNL248C	YNR003C
YNL248C	YOR210W
YNL248C	YOR341W
YNL248C	YPR110C
YNL248C	YPR161C
YNL257C	YOR057W
YNL261W	YOL012C
YNL261W	YPL001W
YNL271C	YOR157C
YNR003C	YOR116C
YNR003C	YOR210W
YNR003C	YPR110C
YNR010W	YOL051W
YNR010W	YPL042C
YNR052C	YPL146C
YOL005C	YOR151C
YOL005C	YOR210W
YOL012C	YPL001W
YOL012C	YPR161C
YOL051W	YPL001W
YOL088C	YPR117W
YOL111C	YOR164C
YOL142W	YOR001W
YOL142W	YOR076C
YOR001W	YOR076C
YOR001W	YOR341W
YOR035C	YPL004C
YOR049C	YOR127W
YOR057W	YOR261C
YOR057W	YPL191C
YOR058C	YPL001W
YOR058C	YPL146C
YOR069W	YOR132W
YOR069W	YPL070W
YOR113W	YPR161C
YOR116C	YOR210W
YOR116C	YPR110C
YOR117W	YOR261C
YOR117W	YPL004C
YOR119C	YOR157C
YOR151C	YOR210W
YOR151C	YPR086W
YOR157C	YOR362C
YOR157C	YPR093C
YOR210W	YOR341W
YOR210W	YPR110C
YOR261C	YPL004C
YOR341W	YPR110C
YPL004C	YPR161C
YPL031C	YPL219W
YPL110C	YPR117W
YPL116W	YPL220W
YPL119C	YPR161C
YPL146C	YPR161C
YPL166W	YPR049C
YPL201C	YPR036W
YPL220W	YPR080W
YPR025C	YPR056W
YPR049C	YPR110C
YPR080W	YPR107C
YPR080W	YPR116W
YPR161C	YPR171W
