YNL141W	YKL086W
YGL194C	YOL068C
YGL194C	YBR103W
YGL194C	YCR033W
YJL092W	YFL045C
YJL092W	YDR078C
YLR207W	YGL042C
YOL123W	YCL032W
YOL133W	YEL034W
YOL133W	YJL102W
YOL133W	YPL036W
YOL133W	YOR341W
YOL133W	YHR027C
YOL133W	YOR261C
YOL133W	YGL137W
YOL133W	YDR328C
YOL133W	YIL148W
YOL133W	YLL040C
YOL133W	YIL001W
YMR186W	YOL090W
YMR186W	YER095W
YMR186W	YOR057W
YHL002W	YNL239W
YHL002W	YMR109W
YHL002W	YNL015W
YHL002W	YCL008C
YHL002W	YIL148W
YHL002W	YNR006W
YHL002W	YDR259C
YHL002W	YNR005C
YHL002W	YPR115W
YLL026W	YKL215C
YCR021C	YJL068C
YOL068C	YBR103W
YOL068C	YCR033W
YDR225W	YNL308C
YDR225W	YKR048C
YDR225W	YPL043W
YDR225W	YDR243C
YDR225W	YOL054W
YDR225W	YOR207C
YDR225W	YLR247C
YER039C	YOR297C
YER039C	YPL264C
YFL011W	YMR004W
YDR343C	YOR181W
YDR343C	YER125W
YDR342C	YOR181W
YDR342C	YDR034C
YDR342C	YJL173C
YDR342C	YGL042C
YJL214W	YLR093C
YJL214W	YBR159W
YJL214W	YHR140W
YKL189W	YDL065C
YEL034W	YDR394W
YEL034W	YHR135C
YJL146W	YDL043C
YNL215W	YJR091C
YLR223C	YCL032W
YLR384C	YDL140C
YJL057C	YMR129W
YJL057C	YLR452C
YHR216W	YLR347C
YHR216W	YLR427W
YJR094C	YJL106W
YJR094C	YDR207C
YJL106W	YJR091C
YJL106W	YLR447C
YCR046C	YDL049C
YMR035W	YDL138W
YDL181W	YNL250W
YDR123C	YHL020C
YNL106C	YNL055C
YNL106C	YDL230W
YNL106C	YER104W
YNL106C	YKR028W
YBR011C	YMR267W
YBR011C	YGL120C
YBR011C	YLR371W
YBR011C	YHR030C
YBR011C	YLR425W
YBR011C	YDL203C
YBR011C	YPL066W
YDR072C	YDR107C
YOR155C	YMR167W
YOR155C	YPL070W
YOR155C	YER090W
YOR304W	YLR347C
YOR304W	YDL002C
YDR497C	YLL028W
YNL227C	YJR022W
YNL227C	YKL166C
YNL227C	YNL093W
YJR091C	YPL004C
YJR091C	YDR005C
YJR091C	YOR197W
YJR091C	YPL270W
YJR091C	YIR025W
YJR091C	YAL034W-A
YJR091C	YPL219W
YJR091C	YER178W
YJR091C	YNL214W
YJR091C	YDR313C
YJR091C	YAR031W
YJR091C	YPR178W
YJR091C	YDL230W
YJR091C	YOR265W
YJR091C	YLR248W
YJR091C	YDL147W
YJR091C	YER125W
YJR091C	YGR049W
YJR091C	YIL076W
YJR091C	YML013W
YJR091C	YJR010C-A
YJR091C	YHR172W
YJR091C	YPL092W
YJR091C	YML015C
YJR091C	YGR144W
YJR091C	YBR067C
YJR091C	YEL013W
YJR091C	YMR197C
YJR091C	YGR241C
YJR091C	YBL053W
YJR091C	YBR161W
YJR091C	YCL063W
YJR091C	YCR041W
YJR091C	YDL046W
YJR091C	YDR010C
YJR091C	YDR031W
YJR091C	YDR271C
YJR091C	YDR438W
YJR091C	YDR527W
YJR091C	YEL008W
YJR091C	YEL068C
YJR091C	YGL046W
YJR091C	YGL069C
YJR091C	YGL198W
YJR091C	YGL217C
YJR091C	YGR018C
YJR091C	YGR042W
YJR091C	YGR182C
YJR091C	YGR269W
YJR091C	YGR294W
YJR091C	YIL096C
YJR091C	YIR003W
YJR091C	YJL199C
YJR091C	YJR038C
YJR091C	YJR087W
YJR091C	YKL146W
YJR091C	YLL065W
YJR091C	YLR156W
YJR091C	YLR283W
YJR091C	YLR392C
YJR091C	YMR253C
YJR091C	YMR278W
YJR091C	YNL092W
YJR091C	YNL105W
YJR091C	YOR114W
YJR091C	YOR302W
YJR091C	YOR379C
YJR091C	YMR104C
YJR091C	YPL158C
YJR091C	YPL159C
YJR091C	YPR050C
YJR091C	YPR148C
YJR091C	YNL241C
YLR347C	YKR048C
YLR347C	YDL213C
YLR347C	YER009W
YLR347C	YGL037C
YLR347C	YDL055C
YLR347C	YOL143C
YLR347C	YBR103W
YLR347C	YGR144W
YPR141C	YJR112W
YPR141C	YOR325W
YHR158C	YGR238C
YHR158C	YLR452C
YHR158C	YAL016W
YHR158C	YMR181C
YIL125W	YDR148C
YIL125W	YDL147W
YIL125W	YML064C
YIL125W	YCR079W
YIL125W	YFR049W
YDR148C	YPL070W
YDR148C	YFR049W
YDR148C	YNL092W
YJL094C	YLR193C
YAR018C	YPL093W
YAR018C	YBL106C
YAR018C	YML064C
YCR091W	YNR047W
YKL168C	YJR061W
YKL168C	YLR012C
YPL102C	YDR034C
YNL308C	YDR386W
YNL308C	YDL213C
YNL308C	YEL017C-A
YNL308C	YPR110C
YNL308C	YIL105C
YNL308C	YLR427W
YHR082C	YNL201C
YHR082C	YAL016W
YOR099W	YJL117W
YBR205W	YML115C
YBR205W	YHR105W
YBR205W	YFL038C
YBR205W	YHR016C
YBR205W	YPR107C
YIL085C	YLR325C
YNL239W	YDR189W
YNL239W	YML064C
YKL103C	YAL034W-A
YKL103C	YDR142C
YKL103C	YML064C
YOR181W	YGR136W
YOR181W	YFR024C-A
YOR181W	YMR109W
YOR181W	YBL017C
YOR181W	YPR154W
YOR181W	YBR260C
YOR181W	YHR027C
YOR181W	YER125W
YOR181W	YJL151C
YOR181W	YLR447C
YOR181W	YHR016C
YDR499W	YBR136W
YNL104C	YKL183W
YLR011W	YLR447C
YGR136W	YER125W
YGR136W	YBR108W
YFR024C-A	YMR302C
YFR024C-A	YMR304W
YFR024C-A	YLR422W
YOR142W	YMR106C
YDR378C	YJR022W
YDR378C	YMR268C
YDR378C	YHR165C
YJR022W	YNR050C
YJR022W	YNR053C
YJR022W	YDR228C
YJR022W	YNL329C
YJR022W	YMR205C
YJR022W	YMR268C
YJR022W	YPR178W
YJR022W	YHR165C
YJR022W	YOR261C
YJR022W	YDL111C
YJR022W	YGL028C
YJR022W	YLR430W
YJR022W	YJL004C
YJR022W	YBR044C
YJR022W	YDR135C
YJR022W	YEL023C
YJR022W	YGL117W
YJR022W	YJL021C
YJR022W	YKR104W
YPL004C	YPL150W
YPL004C	YPL074W
YPR073C	YPL082C
YDL087C	YKL012W
YDL087C	YML049C
YDL087C	YDR240C
YDL087C	YGL112C
YDL087C	YDR080W
YDR034C	YKR048C
YDR034C	YDL085W
YDR034C	YDL065C
YDR034C	YDL138W
YDR034C	YOR009W
YDR034C	YDR259C
YDR034C	YBR144C
YDR034C	YCR095C
YDR034C	YIR026C
YMR021C	YGR144W
YJL030W	YNL218W
YJL030W	YER105C
YJL030W	YNL236W
YKL029C	YGL137W
YKL029C	YLR447C
YGR289C	YIL016W
YBR298C	YBR159W
YBR298C	YHL042W
YBR298C	YMR279C
YOR197W	YPR154W
YOR197W	YBL106C
YOR197W	YLL017W
YDL054C	YAR031W
YDL054C	YBR159W
YDL054C	YDR307W
YDL054C	YER140W
YNL307C	YDR207C
YNL307C	YIL105C
YPR046W	YMR268C
YNL328C	YGL006W
YPL270W	YGL104C
YML104C	YPR099C
YOR147W	YFR003C
YMR112C	YDL005C
YDL005C	YHR058C
YDL005C	YBR193C
YDL005C	YLR071C
YDL005C	YNL236W
YDL005C	YDR443C
YDL005C	YPL042C
YHR058C	YKL023W
YBR193C	YER012W
YBR193C	YEL037C
YPR138C	YBR067C
YNL145W	YLR358C
YGR249W	YBR162C
YGR249W	YNL092W
YNL218W	YEL058W
YNL218W	YML064C
YDL200C	YEL024W
YDL200C	YGL137W
YDL200C	YGR184C
YDL200C	YHR033W
YGL035C	YKL074C
YGL106W	YHR023W
YMR167W	YOL090W
YMR167W	YNL082W
YMR167W	YBR088C
YMR167W	YER095W
YLL061W	YIL016W
YLL061W	YBR159W
YLL061W	YJL163C
YBR098W	YDR386W
YBR098W	YHR016C
YKL064W	YLR138W
YOL088C	YLR312C
YMR224C	YNL250W
YMR224C	YDR369C
YPR079W	YDR456W
YPR079W	YEL017C-A
YPR079W	YKR093W
YPR079W	YDL138W
YPR079W	YGL042C
YPR079W	YKR088C
YMR024W	YBL039C
YKR052C	YNL275W
YOL090W	YNL082W
YOL090W	YOR323C
YOL090W	YIL143C
YOL090W	YBR025C
YGR023W	YKL119C
YGR023W	YLR460C
YGR023W	YNL237W
YOR160W	YIL115C
YKL074C	YDL043C
YKL074C	YPL016W
YPL070W	YDR394W
YPL070W	YML064C
YPL070W	YBL039C
YPL070W	YHL018W
YPL070W	YJL199C
YDR386W	YDL043C
YDR386W	YLR196W
YDR386W	YKR081C
YDR386W	YCL032W
YDR386W	YIL148W
YDR386W	YGR090W
YDR386W	YMR226C
YDR386W	YPL108W
YDR386W	YDR381W
YMR004W	YLR452C
YMR004W	YBR077C
YMR109W	YGR192C
YKR048C	YNL078W
YKR048C	YGR245C
YKR048C	YOL115W
YKR048C	YDR259C
YKR048C	YBR203W
YKR048C	YKL095W
YKR048C	YOL070C
YKR048C	YPL150W
YKR048C	YDR381W
YKR048C	YDR002W
YPR155C	YBR162C
YNL036W	YOL061W
YNL036W	YOR302W
YHR042W	YAL067C
YHR042W	YPL092W
YHR042W	YBR044C
YHR042W	YHR140W
YDL085W	YGR139W
YJL076W	YOR341W
YOR156C	YPL174C
YDR176W	YCL010C
YDR176W	YOL148C
YDR176W	YGL112C
YDR176W	YDR457W
YDR176W	YCR041W
YLR138W	YHL010C
YDL002C	YPL235W
YDL002C	YDL076C
YDR456W	YGL008C
YDR456W	YIL030C
YDR456W	YPL092W
YDR456W	YKR050W
YDR456W	YHL042W
YPL174C	YBL106C
YNL078W	YOL070C
YHR077C	YKL023W
YJR112W	YNL250W
YJR112W	YLR086W
YJR112W	YGL093W
YLR002C	YKR081C
YLR002C	YGR079W
YPL093W	YPL043W
YPL093W	YKR081C
YPL093W	YGR245C
YPL093W	YHR066W
YNR053C	YDL043C
YNR053C	YHR165C
YNR053C	YKR081C
YNR053C	YGR245C
YNR053C	YMR106C
YPL043W	YHR073W
YPL043W	YNL002C
YPL043W	YPL012W
YPL043W	YHR066W
YPL043W	YJL109C
YPL043W	YLR427W
YPL043W	YOR272W
YDL213C	YGL120C
YDL213C	YLR196W
YDL213C	YKR081C
YDL213C	YPL012W
YDL213C	YMR229C
YDL213C	YJL109C
YDL213C	YDR381W
YDL213C	YOR272W
YBR170C	YDL190C
YBR170C	YDR259C
YNL183C	YGR241C
YNL251C	YNL330C
YBR188C	YLL036C
YBR188C	YDR416W
YER105C	YBL041W
YIL115C	YDR395W
YJL039C	YLR447C
YJR042W	YLR208W
YLR093C	YGL006W
YLR093C	YBL050W
YLR093C	YMR197C
YLR093C	YKL196C
YAL051W	YOR363C
YKL055C	YER119C
YGL055W	YDL093W
YGL055W	YIL016W
YGL055W	YBR159W
YHL020C	YER120W
YML065W	YLL004W
YML065W	YHR118C
YML065W	YKR101W
YLL004W	YHR118C
YLR350W	YHR030C
YAR044W	YER120W
YAR044W	YGR192C
YDL019C	YER120W
YHR073W	YHR152W
YOR085W	YEL002C
YER154W	YNR003C
YPL196W	YOL061W
YDR228C	YPL031C
YDR228C	YAL043C
YDR228C	YDL140C
YBR186W	YLR373C
YER059W	YPL031C
YER059W	YDL224C
YER059W	YBR141C
YER059W	YLR190W
YER059W	YOR392W
YPL219W	YPL031C
YDL179W	YPL031C
YDL179W	YMR147W
YGR202C	YGL137W
YER178W	YBR221C
YER178W	YGL137W
YER178W	YKL124W
YBR221C	YGR193C
YBR221C	YPL151C
YBR221C	YFR004W
YBR221C	YBR044C
YBR221C	YLR345W
YBR221C	YML059C
YCL043C	YIR001C
YGR193C	YBR114W
YGR193C	YMR106C
YBL017C	YMR197C
YLR148W	YMR231W
YLR148W	YDL006W
YLR148W	YPL045W
YLR148W	YDR080W
YLR148W	YMR197C
YPL154C	YBR114W
YMR231W	YPL045W
YMR231W	YDR080W
YDR323C	YKR014C
YBL080C	YCR106W
YBL080C	YMR104C
YNL003C	YHL042W
YBL030C	YBL050W
YBL030C	YLR268W
YBL030C	YGL137W
YDR265W	YMR026C
YDR265W	YDL065C
YDR265W	YAL055W
YOL147C	YDL065C
YMR026C	YDL065C
YMR026C	YAL055W
YGL153W	YNL214W
YGL153W	YDL065C
YGL153W	YDR244W
YGL153W	YDR142C
YGL153W	YOL105C
YNL214W	YDL065C
YNL214W	YDR244W
YNL214W	YDR142C
YHR160C	YDR142C
YHR160C	YIL160C
YDL065C	YAL055W
YDL065C	YJL210W
YDL065C	YDR244W
YDL065C	YLR071C
YDL065C	YGR242W
YDL065C	YMR163C
YKL197C	YNL329C
YDR244W	YDR142C
YDR244W	YGL205W
YNL329C	YML029W
YNL329C	YHL042W
YDR142C	YIL160C
YDR142C	YGR184C
YHR185C	YIL007C
YNL317W	YAL043C
YNL317W	YGR156W
YNL317W	YDR195W
YNL317W	YPR107C
YCR012W	YGL137W
YBR093C	YKR106W
YOL001W	YPL031C
YPL031C	YNL201C
YPL031C	YJR104C
YPL031C	YJR159W
YPL031C	YNL025C
YPL031C	YMR106C
YJL117W	YEL017C-A
YJL117W	YJR010C-A
YJL117W	YDL015C
YJL117W	YEL002C
YJL117W	YHL042W
YJL117W	YHR140W
YJL117W	YMR106C
YJL117W	YPL264C
YBR296C	YLL028W
YBR296C	YLR137W
YBR296C	YML089C
YDR313C	YIL148W
YGR086C	YER120W
YGR086C	YGL137W
YGR086C	YHR030C
YGR086C	YLR447C
YGR086C	YPL150W
YGR086C	YPL074W
YPR154W	YIL148W
YBL051C	YPL235W
YBL051C	YKR096W
YGL008C	YHR030C
YPL036W	YPL136W
YEL017C-A	YBR159W
YEL017C-A	YHL042W
YDL093W	YBR044C
YOR145C	YNL207W
YOR145C	YGR090W
YBR088C	YBR087W
YBR088C	YHR031C
YNL282W	YBR167C
YGR030C	YBR167C
YNL055C	YDR394W
YNL055C	YHR135C
YNL055C	YMR106C
YNL055C	YNL260C
YNL055C	YOL087C
YNL055C	YNL093W
YIL114C	YHR140W
YGL205W	YDR128W
YHR075C	YDL134C
YHR075C	YDL188C
YDL134C	YDL188C
YDL134C	YPR110C
YDL134C	YPL152W
YDL134C	YGR161C
YDL134C	YPR040W
YDL134C	YAL016W
YDL134C	YLR373C
YDL134C	YHR135C
YDL188C	YER012W
YDL188C	YMR314W
YDL188C	YBL041W
YDL188C	YML092C
YDL188C	YGR253C
YDL188C	YGR161C
YDL188C	YJR009C
YDL188C	YPR040W
YDL188C	YAL016W
YDL188C	YHR135C
YML016C	YPL074W
YMR297W	YLR378C
YER012W	YJL001W
YER012W	YMR314W
YER012W	YBL041W
YER012W	YML092C
YER012W	YGR253C
YER012W	YEL037C
YER012W	YFR004W
YER012W	YHR027C
YER012W	YDL147W
YER012W	YOR261C
YER012W	YKL145W
YER012W	YDR394W
YER012W	YOR117W
YER012W	YHR033W
YER012W	YMR106C
YER012W	YLR199C
YJL001W	YDL147W
YMR314W	YML092C
YMR314W	YDL147W
YMR314W	YOR261C
YMR314W	YFR010W
YBL041W	YDL020C
YBL041W	YDL147W
YBL041W	YCR073C
YBL041W	YIL007C
YML092C	YJL199C
YML092C	YLR345W
YPL192C	YBL050W
YPL192C	YML064C
YPL192C	YER031C
YGL053W	YHR140W
YAR031W	YCR030C
YAR031W	YLL028W
YOR323C	YCR079W
YDL043C	YMR302C
YDL043C	YGL137W
YDL043C	YDR409W
YDL043C	YMR117C
YDL043C	YDL185W
YDL043C	YMR304W
YKR086W	YJR127C
YLL036C	YPL151C
YLL036C	YHR165C
YLL036C	YDR416W
YLL036C	YKL095W
YDR243C	YPL235W
YKL012W	YNL236W
YGL120C	YPL151C
YGL120C	YHR165C
YGL120C	YKL095W
YPL151C	YKL095W
YPR178W	YHR165C
YPR178W	YGR241C
YHR165C	YML049C
YHR165C	YDR416W
YHR165C	YDR213W
YDL214C	YEL013W
YER099C	YOL061W
YNL169C	YLR447C
YOL054W	YCR030C
YAL017W	YGL112C
YDR032C	YCL032W
YDR032C	YML064C
YDR032C	YDR369C
YDR032C	YHR135C
YDR032C	YCR004C
YDR032C	YMR106C
YNL201C	YDR379W
YNL201C	YML010W
YNL201C	YPR115W
YLR376C	YDR078C
YAL043C	YGR156W
YAL043C	YDR195W
YAL043C	YMR182C
YAL043C	YNL222W
YAL043C	YPR107C
YDL006W	YOL113W
YDL006W	YML100W
YBR125C	YDR247W
YGR156W	YDR195W
YGR156W	YPR107C
YER075C	YMR229C
YER075C	YHR030C
YKL188C	YDR119W
YFR033C	YNL236W
YIL120W	YBR159W
YBR114W	YHL024W
YBR114W	YMR190C
YBR114W	YGR192C
YBR114W	YDR453C
YBR114W	YMR226C
YEL037C	YER162C
YEL037C	YHR027C
YEL037C	YOR261C
YEL037C	YDL140C
YEL037C	YKL145W
YEL037C	YDR394W
YEL037C	YOR117W
YEL037C	YIL143C
YEL037C	YIL148W
YEL037C	YDL190C
YJR035W	YFL045C
YJR035W	YDL185W
YJR035W	YMR226C
YGR258C	YIL143C
YER162C	YLR167W
YER162C	YIL148W
YNL250W	YDR394W
YNL250W	YGL137W
YNL250W	YMR117C
YNL250W	YCR073C
YNL250W	YDL185W
YNL250W	YDR369C
YER095W	YDR076W
YER095W	YDR394W
YER095W	YER047C
YDR076W	YHR033W
YDR004W	YLR268W
YDR202C	YDR328C
YDR202C	YDL185W
YDR202C	YBR127C
YGL158W	YOR261C
YLR248W	YDR080W
YDL135C	YKR055W
YOR380W	YML064C
YOR380W	YPR040W
YLR329W	YHR157W
YDR195W	YPR107C
YOR207C	YNR003C
YOR207C	YPR110C
YJL173C	YCL063W
YJL173C	YDR128W
YBR087W	YMR181C
YOR127W	YHL042W
YBR260C	YKR055W
YDR137W	YLR039C
YLR071C	YNL236W
YLR071C	YJR110W
YDL138W	YLR313C
YDL138W	YCR076C
YDL138W	YIR039C
YKR055W	YIL007C
YBL033C	YNL105W
YBL033C	YPR172W
YOL143C	YKR104W
YHL027W	YJL056C
YNL207W	YPL012W
YNL207W	YOR290C
YNL207W	YBR289W
YNL207W	YJL176C
YNL207W	YBR025C
YPL089C	YHR030C
YNL002C	YKR081C
YNL002C	YGR245C
YNL002C	YHR066W
YDL001W	YDR207C
YDL001W	YDL133W
YLR371W	YDL203C
YMR200W	YIL007C
YOR341W	YPR110C
YDR404C	YDL140C
YDR404C	YML010W
YDR404C	YGR186W
YDR404C	YJL070C
YNR003C	YKR025W
YNR003C	YPR110C
YNR003C	YDL150W
YKR025W	YPR110C
YKR025W	YDL150W
YPR110C	YDL150W
YPR110C	YGL137W
YPR110C	YLR086W
YPR110C	YKL218C
YPR110C	YDL185W
YPR110C	YDR453C
YPR110C	YLR238W
YNL330C	YBR095C
YNL330C	YDL076C
YNL330C	YOL006C
YKR081C	YDR087C
YKR081C	YGR245C
YKR081C	YCL054W
YKR081C	YHR066W
YKR081C	YOL102C
YKR081C	YER139C
YKR081C	YLR427W
YKR081C	YOR272W
YFR004W	YDL147W
YFR004W	YOR261C
YFR004W	YKL145W
YFR004W	YDR394W
YFR004W	YIR011C
YFR004W	YFR010W
YFR004W	YBL039C
YFR004W	YER049W
YHR027C	YDL147W
YHR027C	YKL145W
YHR027C	YDR394W
YHR027C	YCR073C
YDL020C	YIL007C
YDL147W	YOR261C
YDL147W	YKL145W
YDL147W	YDR394W
YDL147W	YOR117W
YDL147W	YDR073W
YDL147W	YFR010W
YOR261C	YKL145W
YOR261C	YDR394W
YOR261C	YFR010W
YOR261C	YBL039C
YDL140C	YER125W
YDL140C	YNL236W
YGL189C	YLR435W
YLR388W	YKR016W
YKL145W	YDR394W
YKL145W	YOR117W
YKL145W	YFR010W
YKL145W	YGR184C
YDR394W	YOR117W
YDR394W	YGL137W
YDR394W	YMR216C
YDR394W	YHR030C
YDR394W	YFR010W
YDR394W	YBL039C
YDR394W	YGL074C
YOR117W	YBL039C
YOR117W	YIL007C
YPL152W	YAL016W
YPL152W	YLR447C
YMR270C	YCL032W
YPL012W	YLR427W
YDR087C	YLR447C
YDL111C	YDR280W
YDR280W	YJL109C
YDR280W	YGR090W
YER125W	YKL020C
YER125W	YDL203C
YER125W	YKR018C
YER125W	YLR392C
YER125W	YPR084W
YGR161C	YAL016W
YGR275W	YML115C
YDR139C	YDR328C
YDL076C	YDR207C
YKR028W	YPR040W
YER047C	YCL032W
YPL218W	YLR268W
YPL218W	YML064C
YBR024W	YHL042W
YGR245C	YCR072C
YLL041C	YBR044C
YKL141W	YBR044C
YIL113W	YHR030C
YLR208W	YCR099C
YLR208W	YDR128W
YLR208W	YPR107C
YGL233W	YCL032W
YBL050W	YLR268W
YBL050W	YGR009C
YBL050W	YDR189W
YBL050W	YDR160W
YBL050W	YGL095C
YBL050W	YMR197C
YBL050W	YDL133W
YBL050W	YDL173W
YBL050W	YKL196C
YBL050W	YOL032W
YBL050W	YOL036W
YBL050W	YLR130C
YBR080C	YGL137W
YDR498C	YLR268W
YLR268W	YGL137W
YLR268W	YIL076W
YLR268W	YGR009C
YLR268W	YHR030C
YLR268W	YDR189W
YLR268W	YFL038C
YLR268W	YNL237W
YGL137W	YIL076W
YGL137W	YKL166C
YGL137W	YCR076C
YGL137W	YER049W
YGL137W	YNL181W
YFL045C	YML064C
YFL045C	YDR398W
YLR378C	YDR086C
YLR378C	YBR159W
YGR009C	YBL106C
YGR009C	YPL232W
YGR009C	YMR183C
YLR336C	YDR398W
YCL010C	YGL112C
YCL010C	YKL023W
YGL066W	YDR229W
YIR001C	YGR192C
YMR190C	YLR234W
YOR057W	YDR328C
YOR057W	YIL152W
YOR057W	YLR224W
YDR078C	YIL152W
YBR103W	YCR033W
YBR103W	YDL185W
YNL236W	YNL025C
YNL236W	YGR046W
YJL089W	YPL042C
YNL007C	YHR030C
YNL007C	YMR106C
YOL113W	YAL016W
YDR328C	YDL185W
YDR328C	YML088W
YDR328C	YBR127C
YDR328C	YBR203W
YDR328C	YJL149W
YDR328C	YLR224W
YDR328C	YLR352W
YDR328C	YMR258C
YGR271W	YER049W
YHR030C	YER111C
YHR030C	YLR187W
YHR030C	YLR346C
YDR189W	YKL196C
YNL196C	YLR447C
YPL027W	YCR095C
YJL151C	YHR016C
YDR073W	YOR290C
YOR290C	YBR289W
YOR290C	YJL176C
YBR289W	YPL016W
YBR289W	YJL176C
YIL016W	YJR010C-A
YIL016W	YLL028W
YIL016W	YAR027W
YIL016W	YGL104C
YIL016W	YEL002C
YIL016W	YHL042W
YIL016W	YHR140W
YIL016W	YPL264C
YJR104C	YHR135C
YJR104C	YKL095W
YHR008C	YMR106C
YJR159W	YML064C
YJR159W	YLR447C
YJR010C-A	YLR447C
YJR010C-A	YBR159W
YJR010C-A	YDR506C
YJR010C-A	YHL042W
YJR010C-A	YLR004C
YMR117C	YCL032W
YMR117C	YGR130C
YMR117C	YLR190W
YLR313C	YDL159W
YPL130W	YKL047W
YMR017W	YPL232W
YOL091W	YNL086W
YOR190W	YLR447C
YOL148C	YDR392W
YLR119W	YCL008C
YDR292C	YMR163C
YKR092C	YDR026C
YKR092C	YKL023W
YPR088C	YPL243W
YPR088C	YPL210C
YPR088C	YMR106C
YPR088C	YOR272W
YDR293C	YML064C
YLR006C	YCR073C
YIL143C	YPR056W
YDR443C	YPL042C
YPL042C	YNL025C
YNL025C	YHR135C
YNL025C	YLR358C
YLR452C	YLR417W
YLR452C	YDL186W
YLR452C	YDR319C
YLR452C	YGR018C
YNL222W	YPR107C
YCL032W	YDR103W
YCL032W	YDR416W
YCL032W	YPL120W
YCL032W	YKR020W
YCL032W	YDL016C
YCL032W	YKL061W
YCL032W	YLL049W
YCL032W	YNL086W
YCL032W	YPR076W
YDR103W	YDL159W
YCL008C	YIL148W
YCL008C	YPL065W
YMR054W	YDL185W
YMR054W	YBR127C
YMR054W	YKL080W
YMR054W	YLR447C
YJR007W	YPL237W
YDR126W	YEL002C
YDR395W	YOL070C
YDR416W	YDR247W
YDR416W	YKL095W
YCR030C	YJR126C
YJL004C	YDL199C
YJL004C	YHL017W
YJL004C	YKR088C
YJL004C	YPL264C
YJL004C	YHR016C
YML015C	YML098W
YML015C	YMR077C
YDR145W	YML098W
YDR145W	YGL112C
YML098W	YGL112C
YML064C	YGR144W
YML064C	YKL035W
YML064C	YKL080W
YML064C	YDL224C
YML064C	YFL010C
YML064C	YCR076C
YML064C	YFL054C
YML064C	YHR033W
YML064C	YJL199C
YML064C	YMR106C
YML064C	YMR226C
YML064C	YKR014C
YML064C	YOR272W
YBR123C	YAL001C
YDL185W	YBR127C
YDL185W	YMR104C
YPL234C	YLL028W
YPL234C	YEL002C
YPL234C	YPL264C
YGR144W	YNL116W
YJL143W	YNL131W
YJL143W	YJL064W
YOR297C	YDL217C
YDL217C	YAR023C
YBR067C	YNL237W
YGL145W	YLR373C
YBR162C	YBL095W
YAL016W	YHR135C
YJL164C	YPL203W
YJL164C	YKL166C
YJL164C	YLL040C
YJL164C	YNL093W
YPL203W	YKL166C
YPL203W	YHR135C
YKL166C	YHR135C
YKL166C	YHR033W
YKL166C	YNL093W
YNL079C	YDL072C
YLL028W	YEL002C
YLL028W	YAL018C
YLL028W	YAR033W
YLL028W	YBR159W
YLL028W	YHR140W
YLL028W	YNL237W
YPR156C	YBR159W
YPR156C	YBR285W
YPR156C	YHR140W
YOR273C	YAR027W
YDR074W	YMR261C
YDR074W	YML100W
YDR074W	YLR447C
YDR074W	YAR066W
YKR050W	YKR088C
YER090W	YKL211C
YLR043C	YHR199C
YGR209C	YPL020C
YGR209C	YHR199C
YDR453C	YIL039W
YDR453C	YMR106C
YDL015C	YBR159W
YDL015C	YPL087W
YDL015C	YDL206W
YDL015C	YDR307W
YDL015C	YDR506C
YDL015C	YHR140W
YDL015C	YPL264C
YML100W	YDL190C
YLR435W	YGL214W
YLR425W	YOR053W
YER100W	YFL038C
YIL148W	YDL190C
YIL148W	YNR006W
YIL148W	YPL065W
YIL148W	YOL087C
YMR304W	YPR115W
YGR184C	YGL081W
YDL190C	YPL236C
YDL210W	YBR159W
YDL210W	YGL230C
YDL210W	YHR122W
YAR027W	YBR159W
YAR027W	YKL196C
YAR027W	YMR279C
YKR044W	YHR159W
YPL020C	YCR007C
YPL020C	YDR100W
YBL039C	YJR103W
YBL039C	YGL081W
YBL039C	YKL196C
YJR103W	YDR133C
YJL109C	YMR093W
YJL109C	YGR090W
YMR093W	YDR398W
YGR090W	YLR003C
YGR090W	YLR427W
YDR398W	YBR025C
YEL013W	YKL061W
YEL013W	YLR254C
YML115C	YEL002C
YDL128W	YKL102C
YLR373C	YCL063W
YLR373C	YKL050C
YLR373C	YPL107W
YBR127C	YKL080W
YBR127C	YLR447C
YLR447C	YDR259C
YLR447C	YAR035W
YLR447C	YDL221W
YLR447C	YHR177W
YLR447C	YJL199C
YLR447C	YKR005C
YLR447C	YKR100C
YLR447C	YLR352W
YLR447C	YLR426W
YLR447C	YNL028W
YLR447C	YNL134C
YLR447C	YOL036W
YLR447C	YOR053W
YLR447C	YOR379C
YLL040C	YHR105W
YPL045W	YDR080W
YMR077C	YLR417W
YGL095C	YMR197C
YGL095C	YKL196C
YGL104C	YBR159W
YMR197C	YKL196C
YEL002C	YBR159W
YDR369C	YBR063C
YAL027W	YDR381W
YAL049C	YDL025C
YGR241C	YNL092W
YIR018W	YGR168C
YDR259C	YNL092W
YBL100C	YJL070C
YBR077C	YGR201C
YBR159W	YDL206W
YBR159W	YDR307W
YBR159W	YHL042W
YBR159W	YHR140W
YBR159W	YKL146W
YBR159W	YKR106W
YBR159W	YLR004C
YBR159W	YMR279C
YBR159W	YPL264C
YBR161W	YJR001W
YBR178W	YHR122W
YLL048C	YMR106C
YHR135C	YGR154C
YHR135C	YJL207C
YHR135C	YMR226C
YHR135C	YNL116W
YHR135C	YNL093W
YCL063W	YJL043W
YCL063W	YPL005W
