YNL316C	YOL082W
YFL038C	YGR120C
YJL184W	YOR117W
YCL027W	YKL092C
YNL085W	YPR034W
YFL045C	YPL235W
YGL219C	YLL039C
YIL095W	YJL129C
YOR069W	YOR181W
YBR106W	YDL212W
YOL111C	YOR164C
YNL074C	YNL154C
YBL052C	YDR224C
YFL034W	YHR023W
YDL072C	YOR254C
YGR134W	YPL216W
YDR318W	YML023C
YDR070C	YNL255C
YGL245W	YOR081C
YDL056W	YIR010W
YBR023C	YJL099W
YBL025W	YMR270C
YBL043W	YJR112W
YDL168W	YLR077W
YNL154C	YOL104C
YBR191W	YOR117W
YNL207W	YOR290C
YBR130C	YIL095W
YDR247W	YLR384C
YDL006W	YPL161C
YJR123W	YMR242C
YJR033C	YKL080W
YDR172W	YJR065C
YDR303C	YGR056W
YDR483W	YOL018C
YAR027W	YKR105C
YLR450W	YML013W
YDL137W	YGR052W
YGL147C	YNL069C
YFR028C	YIR026C
YGL091C	YHR135C
YGR104C	YPR056W
YIL035C	YKL082C
YGR066C	YML064C
YBR087W	YOL016C
YGR060W	YKR088C
YDR365C	YML010W
YBR052C	YHR094C
YLR447C	YOR047C
YKL114C	YPL127C
YIR010W	YMR072W
YDL160C	YDR378C
YGL059W	YPL077C
YFR004W	YNL064C
YBR191W	YDR471W
YHR174W	YJL039C
YNL065W	YNL307C
YJR123W	YOL127W
YIR010W	YJR121W
YGL066W	YOL148C
YBR079C	YPR152C
YNL055C	YPR010C
YDR238C	YPL004C
YDL031W	YOR063W
YDL209C	YDR482C
YLR448W	YNL124W
YDR211W	YPL237W
YDR331W	YPL076W
YMR049C	YMR242C
YIL095W	YKL062W
YOL082W	YPR049C
YKL068W	YNL273W
YMR093W	YPR137W
YDR247W	YOR028C
YDR014W	YIL026C
YNL255C	YNL325C
YDR420W	YER118C
YDL149W	YNL154C
YBL011W	YKL116C
YCL011C	YJR145C
YBR154C	YNL151C
YER013W	YLL036C
YHR128W	YJL130C
YLL039C	YNL085W
YDL075W	YNL002C
YDL156W	YIR010W
YLR222C	YMR105C
YHR128W	YPL235W
YEL002C	YER026C
YBR154C	YIR010W
YDR244W	YLR377C
YFR004W	YNL096C
YBR193C	YGR116W
YAL042W	YBR229C
YGL105W	YIR033W
YGL092W	YKL068W
YLR249W	YPR080W
YGR092W	YNL272C
YFR004W	YJL014W
YNL255C	YPL047W
YMR129W	YOR098C
YDL226C	YFL039C
YBR130C	YFL039C
YIR010W	YLR357W
YDR427W	YFR004W
YER032W	YNL161W
YBR041W	YDL193W
YML074C	YPL240C
YKL045W	YNL262W
YIR010W	YJR123W
YDR471W	YGR085C
YER180C	YGL070C
YDR194C	YNL255C
YDR335W	YOR083W
YFL024C	YFL039C
YLL039C	YOR304W
YNL052W	YNL255C
YDR028C	YFR004W
YNR054C	YOR063W
YCR073W-A	YHL007C
YBR211C	YPL233W
YBR080C	YLR268W
YLR117C	YOR159C
YDR334W	YJL081C
YBL079W	YKL068W
YJL034W	YLR207W
YKL166C	YPL240C
YLL039C	YOR018W
YCR091W	YDR173C
YJR082C	YPR023C
YGL179C	YHL024W
YBL003C	YNL002C
YDR378C	YOL149W
YBR273C	YJL048C
YGL180W	YJL084C
YCL054W	YNL154C
YDR167W	YLR399C
YGR268C	YOR042W
YCL054W	YNL002C
YER122C	YGL200C
YIR010W	YLR342W
YDL019C	YNL154C
YDL002C	YJL081C
YER146W	YHL008C
YGL190C	YJR066W
YNL065W	YPL026C
YCL024W	YKL048C
YJL185C	YOR127W
YDR395W	YOR098C
YFR014C	YIL010W
YJR002W	YNL255C
YDR129C	YLR330W
YPL141C	YPL240C
YGL158W	YOR193W
YDR440W	YLR442C
YFL005W	YNL272C
YDL014W	YNL124W
YDR404C	YER148W
YLR262C	YNL293W
YMR242C	YOL127W
YFR014C	YKL127W
YIR007W	YOR133W
YLL039C	YNL217W
YDR224C	YGL150C
YER146W	YJL084C
YGR207C	YLR265C
YHR196W	YLR293C
YLR355C	YML065W
YHR052W	YOR063W
YNL073W	YOR261C
YLR424W	YPR182W
YBL105C	YER118C
YOL135C	YPR168W
YFL037W	YPL235W
YGL031C	YML065W
YLL039C	YLR172C
YDR208W	YLR227C
YIL035C	YKL112W
YML069W	YOL145C
YMR106C	YNL055C
YCL067C	YMR043W
YGR155W	YHR135C
YDR412W	YOL120C
YGL014W	YNL301C
YBR194W	YDR483W
YMR036C	YPR161C
YJL214W	YPR198W
YHL014C	YPL240C
YEL034W	YOR117W
YBR133C	YDL154W
YHR135C	YLR276C
YER093C-A	YHR079C
YDR334W	YHR129C
YFL025C	YMR307W
YFR004W	YMR276W
YGL160W	YLL039C
YLR075W	YNL069C
YDR174W	YER148W
YGL206C	YLR330W
YMR215W	YPL076W
YGL147C	YNL096C
YBL079W	YLR429W
YHR008C	YNL295W
YKL014C	YLR075W
YER157W	YFR014C
YAL005C	YJR112W
YBL105C	YHR070W
YGL253W	YNL206C
YFL037W	YFR004W
YDR388W	YJL084C
YGR092W	YNR047W
YBR142W	YDR496C
YNL307C	YOL083W
YNR026C	YPL218W
YLL004W	YMR036C
YAL030W	YOR036W
YCR042C	YPR056W
YDL055C	YGL245W
YNL255C	YPL098C
YLL039C	YOL059W
YBR274W	YMR270C
YDL015C	YMR215W
YFR004W	YLR249W
YBL007C	YKL054C
YGR136W	YOR197W
YJL069C	YKL099C
YCL024W	YNL289W
YGL158W	YJR094W-A
YMR125W	YPR086W
YAL055W	YDR265W
YDL226C	YOL129W
YBL007C	YNL161W
YKL124W	YLL039C
YER036C	YGR054W
YIR010W	YNL085W
YER101C	YLL039C
YJL189W	YKR048C
YAR042W	YML069W
YDR265W	YGR133W
YNL255C	YPL127C
YFR028C	YPR183W
YJL053W	YJL187C
YER172C	YMR125W
YKL193C	YML049C
YOL147C	YPL240C
YDR179W-A	YOR157C
YAL030W	YBR080C
YBL002W	YHR197W
YDR188W	YMR028W
YAL047C	YGL212W
YLL062C	YOR064C
YBL007C	YDL002C
YGR186W	YML010W
YGR214W	YLR048W
YLL039C	YOR036W
YBR211C	YJR135C
YDR258C	YMR176W
YCR028C	YJL004C
YER086W	YLR355C
YBR011C	YMR142C
YDL130W	YDR091C
YDR424C	YJL041W
YJL138C	YOR117W
YBR274W	YOL059W
YCL037C	YML056C
YBL042C	YGR130C
YJL218W	YML064C
YGR049W	YGR278W
YGL092W	YMR308C
YAL053W	YDR501W
YDR170C	YFR009W
YGR126W	YNL293W
YLR029C	YOR063W
YCL014W	YGR229C
YNL229C	YNL255C
YKR048C	YML069W
YBR133C	YHL007C
YGR192C	YLL039C
YDL006W	YHR079C
YJR154W	YPL141C
YBL007C	YNL229C
YBR058C	YBR112C
YFR014C	YGL208W
YAL035W	YFR004W
YDR150W	YPL269W
YLR429W	YMR086W
YFR032C-A	YMR194W
YDL006W	YGR052W
YBR079C	YEL034W
YMR308C	YPR093C
YKL207W	YNL055C
YMR056C	YNL255C
YDR297W	YER026C
YIR010W	YOL006C
YHR135C	YPR121W
YKR048C	YNL255C
YKL134C	YPL109C
YGL147C	YMR242C
YNL096C	YOR063W
YDR062W	YIL094C
YDR482C	YGR129W
YKL129C	YKR069W
YDR378C	YLL036C
YDR496C	YFL002C
YBL050W	YBR080C
YDL014W	YGL200C
YDR501W	YPL265W
YER164W	YMR072W
YIL109C	YJL004C
YBR083W	YLL039C
YGR252W	YHR174W
YDR348C	YNL161W
YDR453C	YOR031W
YFR004W	YGL253W
YDL031W	YDR496C
YBR102C	YGL233W
YJR082C	YPL248C
YBL023C	YPL008W
YHR079C	YMR140W
YLR307W	YOL016C
YMR186W	YOR181W
YDR100W	YML029W
YBR189W	YDL060W
YBR285W	YGR092W
YHR165C	YKR086W
YEL034W	YJR007W
YDR379W	YNL201C
YLR048W	YMR109W
YNL055C	YNL131W
YJR066W	YPL249C
YBR035C	YPL240C
YAL030W	YMR183C
YBR194W	YCR077C
YBR041W	YOR059C
YER022W	YGR252W
YIL156W	YKL129C
YDL116W	YGR192C
YBR194W	YKL182W
YHR085W	YKL009W
YCR005C	YKL085W
YLL024C	YNL255C
YMR205C	YNL307C
YKL035W	YML064C
YLL039C	YOR063W
YDR169C	YHR135C
YBR274W	YNR046W
YAL044C	YNL255C
YCR011C	YLL039C
YEL031W	YLL039C
YJR091C	YLR370C
YCR086W	YDR388W
YGL021W	YNR070W
YBL003C	YOL012C
YDR519W	YGL014W
YIL095W	YMR053C
YEL003W	YJL041W
YAL055W	YOL044W
YER089C	YHR079C
YGL200C	YPR194C
YDR293C	YPL004C
YDL100C	YDR304C
YGL206C	YJL084C
YFR004W	YNL138W
YDL087C	YGR013W
YDR176W	YGR274C
YGR155W	YML076C
YBL003C	YML112W
YEL039C	YHR195W
YBR189W	YLR264W
YDR303C	YGR275W
YIL114C	YNL255C
YLR186W	YPL126W
YER036C	YIL095W
YKL166C	YOR334W
YHR196W	YJR123W
YBR193C	YDR443C
YGL079W	YLR408C
YFR028C	YIL159W
YPL083C	YPR065W
YEL039C	YPL144W
YER024W	YLL039C
YGL059W	YKL116C
YLR320W	YPL018W
YGL011C	YMR308C
YFR004W	YLR342W
YLR060W	YOR117W
YGL227W	YMR135C
YKL065C	YLL023C
YJR057W	YNL255C
YCL024W	YNL027W
YMR049C	YNL002C
YFR014C	YLR059C
YMR048W	YNL273W
YFL013C	YOR123C
YDL014W	YPR137W
YNL255C	YNR033W
YDR479C	YJL134W
YDR482C	YGL028C
YMR213W	YPR152C
YBR166C	YLL039C
YMR242C	YOL040C
YKL012W	YMR125W
YDR418W	YLR441C
YAL043C	YPL008W
YGL112C	YHR099W
YAL038W	YFR049W
YGR113W	YIR010W
YFL039C	YOL108C
YGR278W	YPL151C
YDL100C	YOL018C
YJL052W	YJR009C
YFL039C	YNL243W
YER023W	YNL255C
YFL037W	YGR252W
YKR103W	YNL274C
YER122C	YFR004W
YKL127W	YLL039C
YAL035W	YOR063W
YHR081W	YHR135C
YCR077C	YER172C
YFR001W	YKL185W
YIR010W	YOR340C
YGR056W	YML127W
YGR232W	YOR117W
YGR211W	YOR117W
YHL011C	YLL039C
YJR076C	YML109W
YGL179C	YNL027W
YHR099W	YOL148C
YLR336C	YPR137W
YCL014W	YKR048C
YOR133W	YPR080W
YML065W	YNL162W
YLL039C	YOL126C
YGL059W	YHR157W
YNL255C	YOR361C
YER111C	YML069W
YGR167W	YHR161C
YDR126W	YEL002C
YDR284C	YGL006W
YML051W	YOL148C
YGR097W	YPR115W
YOR157C	YPL144W
YBL082C	YGL070C
YBL007C	YPR102C
YKL014C	YML074C
YDL064W	YMR190C
YCR014C	YLR421C
YGR186W	YPR187W
YBR267W	YOR063W
YCR073C	YHR157W
YER086W	YLR259C
YKL145W	YPR119W
YPL240C	YPL264C
YLL039C	YNR053C
YER118C	YHR143W
YGL206C	YOR181W
YCL059C	YDR299W
YLR075W	YOR234C
YKL035W	YNL289W
YHR042W	YPL092W
YGL023C	YMR049C
YAL042W	YGL158W
YFR014C	YMR140W
YDL047W	YKL110C
YOL133W	YOR319W
YLL039C	YLR342W
YKL116C	YMR284W
YIL138C	YNL255C
YFL005W	YPR032W
YHR196W	YLL011W
YOL044W	YOL147C
YPL058C	YPL265W
YFR004W	YNL208W
YBL002W	YML065W
YDR168W	YJR076C
YDR188W	YIR010W
YLL039C	YMR292W
YJL170C	YPL240C
YER022W	YHR041C
YFR004W	YLR028C
YDR427W	YLR421C
YHR001W	YKR003W
YML013W	YOL013C
YBL105C	YPR154W
YDR501W	YER036C
YFR004W	YGR135W
YJL029C	YLR262C
YBL007C	YKR022C
YDR312W	YNL255C
YDR172W	YHR015W
YGL147C	YLR029C
YGR052W	YMR165C
YER123W	YOL083W
YMR053C	YNL307C
YMR041C	YOL045W
YPR056W	YPR086W
YBR189W	YNL301C
YFL039C	YJR065C
YLR071C	YPR086W
YER165W	YIL095W
YHR001W	YLR332W
YBR166C	YNL209W
YIR010W	YPR010C
YML065W	YNL113W
YDR030C	YDR212W
YAL005C	YER012W
YLR058C	YOR081C
YOR098C	YOR160W
YLR384C	YPL101W
YDL101C	YDL200C
YKL180W	YNL330C
YHR165C	YMR125W
YHR135C	YLR030W
YGR266W	YOR153W
YDL235C	YKL114C
YCR066W	YLL039C
YAL035W	YLR192C
YER012W	YLR421C
YHR196W	YJR145C
YBL034C	YKL193C
YFR004W	YOR220W
YHR007C	YLR144C
YLR268W	YOR164C
YGR158C	YOR076C
YPL232W	YPR032W
YDR207C	YNL330C
YDR523C	YOR261C
YDL149W	YFR028C
YDR036C	YGL129C
YNL020C	YNL243W
YOR187W	YPL083C
YBR221C	YLR345W
YDL006W	YLR148W
YBR193C	YER148W
YAR002W	YER165W
YML010W	YOR123C
YGL206C	YNL106C
YBR189W	YLL036C
YEL056W	YML065W
YLR186W	YPL004C
YER067W	YNL161W
YGR215W	YJR113C
YAL016W	YGR281W
YKR081C	YOR005C
YLL039C	YOR039W
YGR200C	YHR187W
YJL081C	YOR189W
YJR090C	YLL050C
YLR300W	YOL126C
YIL093C	YNL081C
YJL030W	YPR176C
YMR031C	YOR181W
YGL158W	YMR223W
YFR010W	YKL145W
YGL158W	YML091C
YHR001W	YNL283C
YML065W	YMR263W
YGR281W	YPL058C
YKL213C	YLL039C
YFL039C	YOR326W
YBL003C	YIL056W
YDR038C	YNL217W
YJL186W	YLL039C
YDR331W	YGL051W
YBR247C	YNL207W
YGL121C	YLR278C
YGR167W	YOR181W
YBR167C	YBR257W
YBL069W	YDR100W
YDR483W	YPR152C
YNL116W	YNL154C
YER146W	YPR010C
YDR176W	YDR208W
YGR185C	YOR117W
YEL018W	YOR128C
YLR423C	YOL034W
YBL020W	YLL039C
YFL018C	YIL125W
YGR038W	YKL212W
YLR429W	YPL032C
YLR039C	YLR262C
YGL245W	YNL045W
YLL039C	YML111W
YER148W	YOR340C
YHR114W	YJL180C
YHR079C	YJL034W
YKL010C	YML064C
YDR214W	YPL240C
YFR004W	YHL011C
YEL034W	YPL144W
YJR121W	YMR186W
YJL034W	YKL145W
YAR027W	YIL016W
YDR329C	YMR203W
YHL007C	YPR032W
YLR167W	YOL117W
YFL002C	YKR081C
YDR388W	YGL070C
YFR004W	YLR027C
YLL023C	YLL039C
YGR130C	YMR117C
YFR028C	YMR055C
YLR105C	YPL083C
YJR132W	YLL039C
YKL180W	YNL301C
YGL147C	YOR117W
YKL010C	YPR080W
YDR044W	YGL112C
YHR135C	YLL039C
YBL061C	YPR080W
YKL140W	YMR152W
YNL064C	YNL229C
YKR026C	YNL255C
YFL022C	YPL240C
YOR117W	YPR035W
YMR291W	YNL154C
YHR195W	YOR065W
YDR130C	YKL052C
YGL237C	YKL109W
YJR002W	YKL035W
YDR188W	YNL255C
YAL034W-A	YIR010W
YLL026W	YNL229C
YML065W	YNR021W
YDR414C	YLL023C
YDR101C	YNL227C
YDR172W	YNL064C
YKR022C	YNL258C
YDR331W	YHL003C
YDR516C	YPL026C
YKL182W	YLL039C
YGL179C	YKL042W
YBR207W	YDR352W
YJL014W	YOR117W
YBR175W	YLR403W
YDR440W	YLL039C
YKR018C	YLL039C
YDL165W	YPL037C
YBR106W	YNL275W
YLR457C	YPL018W
YDR152W	YIL152W
YDL060W	YJR145C
YDR233C	YOR285W
YCR012W	YIR010W
YLR454W	YPL180W
YDL047W	YMR024W
YLR075W	YLR441C
YGR054W	YNL255C
YIL035C	YLR109W
YDL015C	YDR331W
YKL006W	YLR424W
YCL059C	YLR222C
YBL023C	YPR019W
YAR019C	YHR169W
YJR112W	YMR168C
YDL115C	YDR404C
YMR186W	YNL124W
YLR423C	YLR439W
YDR361C	YNL255C
YLR421C	YOR117W
YIR010W	YOR063W
YDL223C	YIL095W
YKL063C	YLL039C
YNL255C	YOR189W
YER141W	YLL039C
YGL150C	YPL235W
YHR135C	YPL100W
YDR471W	YNL069C
YDL137W	YLL039C
YDR233C	YEL056W
YHR023W	YNL272C
YLR421C	YOR261C
YNL255C	YPR204W
YFR004W	YKL145W
YER165W	YOR243C
YJL187C	YMR205C
YGL156W	YGL215W
YHL009C	YOR153W
YGL005C	YKL159C
YIL142W	YOR230W
YKL019W	YKL159C
YJR145C	YOR063W
YDR244W	YNL214W
YHR007C	YKR003W
YDL051W	YNL262W
YKL134C	YNL021W
YBL045C	YMR036C
YOR028C	YPL046C
YNL161W	YNL272C
YHR052W	YLL045C
YBR106W	YOL132W
YDR091C	YOR063W
YDR471W	YLR029C
YEL018W	YJR082C
YDR012W	YLR438C-A
YDL051W	YDR365C
YDL083C	YLR287C-A
YCR086W	YDR082W
YBR274W	YMR255W
YCL024W	YFR028C
YLL024C	YNL157W
YDR323C	YGL095C
YJR066W	YLR377C
YDR386W	YJR144W
YML065W	YOL041C
YFL039C	YML065W
YER036C	YJR145C
YAR027W	YNL263C
YDR496C	YOR063W
YHR135C	YJR076C
YMR308C	YOR117W
YDL055C	YFL037W
YGL059W	YKL062W
YDL014W	YLR403W
YGR026W	YHR135C
YCR086W	YLR086W
YKL095W	YKR086W
YLR071C	YNR010W
YBR146W	YDR036C
YGR200C	YLR384C
YDL235C	YKL161C
YGR013W	YKL012W
YDL190C	YGR048W
YBR106W	YDR414C
YER002W	YMR049C
YBL043W	YPL018W
YFR014C	YLR276C
YDR356W	YMR129W
YJL011C	YKL015W
YHR098C	YNL289W
YGR227W	YHR114W
YDR308C	YER022W
YEL061C	YGR229C
YKL146W	YMR216C
YAR042W	YOR361C
YMR206W	YNL255C
YFR014C	YNL255C
YDR068W	YDR100W
YBR251W	YHR197W
YNL096C	YPR041W
YLL039C	YLR350W
YER019W	YLL039C
YOR294W	YPR115W
YFR004W	YOR157C
YCR014C	YFR004W
YDL111C	YHR069C
YBR146W	YJR113C
YGR195W	YHR081W
YGR155W	YIL109C
YER012W	YGL058W
YFL013C	YJL081C
YNL069C	YNL255C
YPL237W	YPR152C
YDR412W	YJL189W
YCR030C	YPR119W
YDL101C	YML083C
YFL037W	YGL238W
YDL014W	YNL069C
YGR167W	YNL243W
YBR183W	YDL212W
YDR174W	YIR010W
YJR091C	YLR059C
YLL039C	YMR308C
YDR217C	YJL090C
YNL069C	YNL301C
YMR129W	YPL075W
YIL027C	YPL058C
YBL076C	YLR060W
YLR227C	YNL225C
YFR004W	YJL130C
YGR085C	YNL301C
YDR356W	YLR212C
YBR109C	YNL225C
YGR266W	YOR181W
YGR021W	YKL048C
YLR423C	YPL268W
YJL187C	YLR125W
YJR106W	YOR153W
YER088C	YNL091W
YMR194W	YNL096C
YDL015C	YHR195W
YHR050W	YLL039C
YER149C	YNL243W
YBL003C	YER148W
YLR181C	YPR173C
YCL027W	YPR023C
YKL180W	YLR029C
YDL101C	YKL095W
YCR077C	YPL240C
YAL024C	YLR058C
YNL096C	YOL127W
YJR066W	YLR214W
YGR130C	YMR086W
YDR153C	YKL135C
YFR028C	YMR176W
YER157W	YPL246C
YPL240C	YPR029C
YMR267W	YNL154C
YDL055C	YNL255C
YFR004W	YLR447C
YLL039C	YNL044W
YER013W	YMR213W
YIL093C	YJR113C
YLR249W	YPL266W
YBR041W	YML008C
YDR388W	YML109W
YGR255C	YNL330C
YLL050C	YLR039C
YBL093C	YHR041C
YFR014C	YKL119C
YFR014C	YKR092C
YDR188W	YGL023C
YHR179W	YLR186W
YDR471W	YOL127W
YGL127C	YPR168W
YDR496C	YLL039C
YHR135C	YIL010W
YLR018C	YMR129W
YLL038C	YNL255C
YBL003C	YFL024C
YGL187C	YNL052W
YBL039C	YBR031W
YGL158W	YIL078W
YJL047C	YOL133W
YDR293C	YGL180W
YPL004C	YPR161C
YDR009W	YPL248C
YNL255C	YNL330C
YDL002C	YNL307C
YCL025C	YJR095W
YMR199W	YPL049C
YDR523C	YMR235C
YDR418W	YKL009W
YNL209W	YOL087C
YNL048W	YPR128C
YCL027W	YNL075W
YLR332W	YOR273C
YDR118W	YGL254W
YDR116C	YLR312W-A
YHL024W	YJL187C
YER053C	YLL039C
YBL007C	YLR448W
YDR369C	YOL108C
YCR077C	YGL121C
YLL036C	YOR319W
YCL037C	YKL014C
YBL003C	YPR161C
YDR418W	YLL045C
YDR167W	YPL047W
YBL007C	YBR059C
YER155C	YIL113W
YDR247W	YGL184C
YBR273C	YPL240C
YHL022C	YHR157W
YHL007C	YHL024W
YKL182W	YOR117W
YBR011C	YDL203C
YJL130C	YLL039C
YAL005C	YDL058W
YCL059C	YMR229C
YDR513W	YNL255C
YDR388W	YGL026C
YGR056W	YGR275W
YIR010W	YLR153C
YDR508C	YLL039C
YDR412W	YHR197W
YMR216C	YNL255C
YAL053W	YOL105C
YLR287C-A	YOL127W
YOR117W	YOR317W
YBR251W	YIL093C
YBL039C	YGR252W
YGR232W	YMR121C
YLL039C	YOL082W
YLR029C	YOL041C
YLR399C	YPL235W
YGL180W	YPR143W
YJR062C	YLL026W
YLR266C	YPL018W
YBL016W	YEL032W
YIR010W	YLR222C
YIL094C	YMR308C
YLR377C	YPL180W
YGL150C	YOR189W
YKL180W	YMR242C
YAR002W	YLR293C
YMR190C	YMR224C
YJL083W	YJR066W
YER119C	YOL016C
YFR004W	YGR085C
YGL147C	YKL135C
YDR211W	YKR026C
YER012W	YLR276C
YFL039C	YGL150C
YBR121C	YNL255C
YCL059C	YPL126W
YEL034W	YFR031C-A
YBR202W	YEL032W
YGL017W	YLR187W
YDR482C	YOR204W
YBR119W	YNL227C
YBR246W	YDR520C
YBR189W	YOR204W
YIL094C	YOR133W
YDR251W	YIR010W
YLL045C	YOR063W
YFR029W	YGL180W
YDR392W	YGL158W
YKL114C	YKL166C
YFR001W	YGL237C
YLL024C	YML065W
YEL030W	YIL095W
YER148W	YHR099W
YJR066W	YLR116W
YBR285W	YCR091W
YFR043C	YPR029C
YDR224C	YGL066W
YBR041W	YLL039C
YFL003C	YMR125W
YJR104C	YMR038C
YBR191W	YLL039C
YDR359C	YHR099W
YEL061C	YLL039C
YFL034W	YGL180W
YBR194W	YHR099W
YIL035C	YOR119C
YAL005C	YLL036C
YBL007C	YGR268C
YIL108W	YPR154W
YNL151C	YPR190C
YBR080C	YFR004W
YIR010W	YKL052C
YLR438C-A	YPL084W
YGL158W	YPL058C
YFL023W	YIR006C
YDR383C	YPL233W
YDR068W	YDR483W
YBR191W	YOL127W
YLL039C	YLR352W
YJR145C	YPL081W
YDR342C	YOR181W
YLL039C	YNL243W
YDR130C	YMR242C
YDR388W	YFL018C
YBL007C	YEL054C
YOR204W	YPL081W
YIR010W	YJL011C
YGR214W	YNL207W
YGL006W	YMR221C
YIL034C	YNL138W
YDR369C	YMR224C
YFR049W	YNL255C
YJR123W	YLR287C-A
YDR170C	YNL238W
YMR299C	YNL183C
YBL007C	YBL088C
YDR458C	YNL154C
YNL255C	YOR374W
YMR106C	YPR160W
YFL005W	YNL263C
YBL072C	YPL126W
YGR123C	YMR186W
YNL251C	YOL021C
YDL181W	YNL154C
YIR010W	YKL180W
YHR024C	YHR120W
YBR253W	YNR010W
YKL135C	YLL039C
YKL014C	YLR233C
YJR066W	YPL180W
YHR216W	YPR152C
YDR150W	YGR089W
YDR135C	YJL014W
YER164W	YGR252W
YHR114W	YOL018C
YMR146C	YPR041W
YNL255C	YNR022C
YCL047C	YKR022C
YGL105W	YGL180W
YHR197W	YKR048C
YBR194W	YHR165C
YDR295C	YGL086W
YCL014W	YEL026W
YHR115C	YNL085W
YGR104C	YOL135C
YBR207W	YLL039C
YDR479C	YLL014W
YNL263C	YNL304W
YDR167W	YGL066W
YFR014C	YOR101W
YGL086W	YJL030W
YLR144C	YPR154W
YGL212W	YLR148W
YLL039C	YPR032W
YBL007C	YLL039C
YDL047W	YJR105W
YFR028C	YOR119C
YER123W	YLL039C
YGL014W	YKL054C
YHL046C	YOR355W
YML065W	YOL136C
YGL179C	YPR083W
YBL003C	YBL023C
YBL016W	YER075C
YIR010W	YPL233W
YCL025C	YHL003C
YDL060W	YJR123W
YDR422C	YHR114W
YNL125C	YPL141C
YDR238C	YLR268W
YBL011W	YDL101C
YLR276C	YMR308C
YIR010W	YJR066W
YLL039C	YMR088C
YFL039C	YOR304C-A
YML069W	YOL013C
YKL166C	YOR187W
YBL105C	YCR030C
YGR149W	YLL039C
YGR200C	YPL026C
YEL055C	YLL019C
YJL041W	YMR024W
YMR031C	YNL209W
YBL045C	YML064C
YHR041C	YHR058C
YEL062W	YNL307C
YDR301W	YLR448W
YIL062C	YOR181W
YAL005C	YDR141C
YCL037C	YLL039C
YDL075W	YDR101C
YAL024C	YLR259C
YPR020W	YPR194C
YBL050W	YGL212W
YLR450W	YML075C
YML101C	YNL255C
YGR153W	YNL255C
YGR092W	YNR046W
YGL206C	YKL135C
YGL134W	YPR115W
YLR075W	YMR086W
YBR011C	YPL066W
YLR421C	YOR259C
YDR118W	YDR260C
YOR153W	YPL265W
YGL263W	YJR095W
YDL209C	YER165W
YDL101C	YMR031C
YGR054W	YOR063W
YHR099W	YPL047W
YBR031W	YDL018C
YGL116W	YGR092W
YHR062C	YOL013C
YNL154C	YOR123C
YIL142W	YNR032W
YNL125C	YNR059W
YDR303C	YGR054W
YBL039C	YOR117W
YIL035C	YOL088C
YGL208W	YNL255C
YNL157W	YOR267C
YHL036W	YPL240C
YMR270C	YPL018W
YKL045W	YPR019W
YDR404C	YPR187W
YBR274W	YHR174W
YDR372C	YFR004W
YDL101C	YMR086W
YBL016W	YOL016C
YKL065C	YPR192W
YDR106W	YMR294W
YBL039C	YOR261C
YLR442C	YNL216W
YOR204W	YOR361C
YNL154C	YOR181W
YDR169C	YMR186W
YHR023W	YKL179C
YAL035W	YLL039C
YJR005W	YLR342W
YLR110C	YLR350W
YDL014W	YOR340C
YDR172W	YNL255C
YKL048C	YLR060W
YDL074C	YGL058W
YDL044C	YFL036W
YIL035C	YNL262W
YBR189W	YOL040C
YNL255C	YOL111C
YDL047W	YJL014W
YDR260C	YML023C
YHR094C	YPL240C
YCL008C	YPL084W
YLL045C	YLR441C
YBR072W	YOR159C
YGR027C	YOL127W
YEL009C	YGL058W
YBR234C	YML069W
YGL031C	YJR123W
YDL101C	YDR158W
YML064C	YNL044W
YHR165C	YOR159C
YMR263W	YNL097C
YMR276W	YOR042W
YLR424W	YMR213W
YDL078C	YNL113W
YJR040W	YLL039C
YAL005C	YPL001W
YDL080C	YIL142W
YBR142W	YLL039C
YJL034W	YNL313C
YIR010W	YOL127W
YMR194W	YNL255C
YER166W	YIL068C
YDR293C	YHL007C
YAR019C	YKL166C
YDR026C	YJL148W
YGL017W	YJL098W
YGL190C	YLR373C
YBL079W	YMR129W
YPL010W	YPL246C
YKL213C	YPR010C
YMR194W	YNL301C
YIR010W	YKL182W
YCL059C	YPR137W
YFL002C	YHR197W
YFR032C-A	YLR287C-A
YGR080W	YOR181W
YKL191W	YLR043C
YML064C	YNL333W
YGL171W	YMR242C
YGL112C	YGL158W
YBR079C	YGR214W
YDL208W	YNL255C
YFR001W	YGL111W
YDR423C	YEL051W
YOR063W	YPL259C
YJL187C	YPR152C
YER111C	YLL036C
YDR247W	YFR028C
YJL187C	YOR340C
YDR080W	YPL233W
YML065W	YNL064C
YGL212W	YOR117W
YGR234W	YLR304C
YHR197W	YNL002C
YGL011C	YLR249W
YJL034W	YOL031C
YMR142C	YMR242C
YJL134W	YML029W
YER148W	YHR041C
YFR004W	YOR335C
YCR021C	YGR138C
YKR048C	YLR457C
YGL112C	YMR061W
YAL009W	YNL255C
YBR031W	YGL111W
YEL034W	YPL111W
YFL039C	YOR281C
YBR011C	YGL237C
YGR214W	YNL124W
YLR276C	YPR161C
YOR311C	YPR124W
YDL053C	YOR290C
YBR106W	YEL017C-A
YBL078C	YNL223W
YDR439W	YHR135C
YBR154C	YPR052C
YIL079C	YML065W
YFR004W	YFR010W
YDR012W	YFL002C
YBR106W	YKL146W
YIR010W	YPL237W
